,id,title,bullets,tags,price,area,rooms,page,state
11,selObject_45024997,"NEU Sonnige Studio-Wohnung, Dachgeshoss in Rummelsburg","[['Dachgeschosswohnung', '•', 'Berlin', 'Lichtenberg']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 771 €,Wohnfläche ca. 15 m²,,4,11
12,selObject_45024990,NEU Möbliert Studio mit Balkon in Tempelhof-Schöneberg,"[['Dachgeschosswohnung', '•', 'Berlin', 'Marienfelde']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 805 €,Wohnfläche ca. 30 m²,Zi. 1,4,11
13,selObject_45024987,"NEU 3 Zimmer-Wohnung mit 78 m² Wfl. im 2. OG, zur Untermie...","[['Wohnung', '•', 'Berlin', 'Konradshöhe']]","['NEU', 'NEU', 'Garten', 'EBK']",Miete inkl. NK 1.200 €,Wohnfläche ca. 78 m²,Zi. 3,4,11
14,selObject_45024975,NEU Vollständig möbiliertes Studioappartement in Köpenick,"[['Dachgeschosswohnung', '•', 'Berlin', 'Köpenick']]","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 689 €,Wohnfläche ca. 29 m²,Zi. 1,4,11
15,selObject_45024957,"NEU 2 Zimmer Wohnung, EBK und sonnigem Balkon - 25 Min von...","[['Wohnung', '•', 'Berlin', 'Friedrichsfelde']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 979 €,Wohnfläche ca. 48 m²,Zi. 2,4,11
16,selObject_45024946,"NEU Erstbezug 1 Zimmer Studio mit EBK & Balkon, 25 Min von...","[['Dachgeschosswohnung', '•', 'Berlin', 'Friedrichsfelde']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 719 €,Wohnfläche ca. 30 m²,Zi. 1,4,11
17,selObject_45024921,"NEU Erstbezug-Neubau mit EBK, Aufzug und Balkon 1 Zimmer...","[['Dachgeschosswohnung', '•', 'Berlin', 'Friedrichsfelde']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 649 €,Wohnfläche ca. 30 m²,Zi. 1,4,11
18,selObject_45024905,"NEU Erstbezug-Neubau mit EBK, Aufzug und Balkon 1 Zimmer...","[['Dachgeschosswohnung', '•', 'Berlin', 'Friedrichsfelde']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 699 €,Wohnfläche ca. 30 m²,Zi. 1,4,11
19,selObject_45024895,NEU Erstbezug: attraktive 2-Zimmer-Wohnung mit Balkon im...,"[['Etagenwohnung', '•', 'Berlin', 'Mitte']]","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 1.210 €,Wohnfläche ca. 48 m²,Zi. 2,4,11
20,selObject_45024835,NEU Moderne Maisonettewohnung mit Balkon und Terrasse für...,"[['Maisonette', '•', 'Berlin', 'Lichterfelde']]","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 2.400 €,Wohnfläche ca. 186 m²,Zi. 4,4,11
21,selObject_45024778,NEU FENSTER AUF ANGEL RAUS! EXKLUSIVES WOHNENAMBIENTE DIRE...,"[['Maisonette', '•', 'Berlin', 'Friedrichshagen']]","['NEU', 'NEU', 'Balkon', 'Garten', 'EBK']",Miete zzgl. NK 1.962 €,Wohnfläche ca. 109 m²,"Zi. 2,5",4,11
22,selObject_45024416,NEU ***Hübsche Dachgeschosswohnung mit EBK im Herzen von...,"[['Wohnung', '•', 'Berlin', 'Spandau']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 999 €,Wohnfläche ca. 72 m²,Zi. 2,4,11
23,selObject_45024105,"NEU 2-Zimmer, Küche , Bad, Balkon am KaDeWe","[['Apartment', '•', 'Berlin', 'Wilmersdorf']]","['NEU', 'NEU', 'Balkon', 'Garten', 'EBK']",Miete zzgl. NK 1.200 €,Wohnfläche ca. 50 m²,Zi. 2,4,11
24,selObject_45023789,NEU 3-Raum Wohnung nahe Heinrich-Laehr-Park (WBS erforderl...,"[['Erdgeschosswohnung', '•', 'Berlin', 'Zehlendorf']]","['NEU', 'NEU', 'Balkon', 'EBK']","Miete zzgl. NK 557,28 €",Wohnfläche ca. 78 m²,Zi. 3,4,11
25,selObject_45023449,"NEU Altbau Wohnung zur Vermietung mit Balkon, exklusiv...","[['Wohnung', '•', 'Berlin', 'Tiergarten']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 2.000 €,Wohnfläche ca. 96 m²,Zi. 4,4,11
26,selObject_45023263,NEU Klimatisierte 2-Zi.-Wohnung mit WBS,"[['Wohnung', '•', 'Berlin', 'Buckow']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete inkl. NK 700 €,Wohnfläche ca. 65 m²,Zi. 2,4,11
